1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1828,0.0,3.0,3,48,-1,1774,774,1,2007.0,1828,0,11694,90.0,452.0,108,5,9,1822,2007,2007,314813
894,0.0,2.0,0,0,2,894,308,-1,1962.0,894,1,6600,60.0,0.0,0,5,5,894,1962,1962,109500
964,0.0,2.0,0,713,1,163,432,1,1921.0,964,1,13360,80.0,0.0,0,7,5,876,1921,2006,163500
1689,0.0,3.0,0,1218,0,350,857,0,2002.0,1689,0,13265,69.0,148.0,59,5,8,1568,2002,2002,271000
1541,0.0,3.0,0,0,2,1541,843,0,2001.0,1541,0,13704,118.0,150.0,81,5,7,1541,2001,2002,205000
1221,0.0,2.0,0,410,0,811,400,0,2004.0,1221,0,7500,62.0,0.0,113,5,7,1221,2004,2005,185000
1324,0.0,3.0,0,643,3,445,440,-1,1965.0,1324,1,8658,84.0,101.0,138,5,6,1088,1965,1965,160000
696,720.0,3.0,0,604,1,92,484,1,1999.0,1416,0,2572,24.0,0.0,44,5,7,696,1999,1999,155000
526,462.0,2.0,1,462,0,0,297,1,1973.0,988,1,1596,21.0,0.0,101,5,4,462,1973,1973,91000
869,349.0,3.0,0,375,1,360,440,1,2003.0,1218,1,6000,60.0,0.0,0,6,6,735,1941,1950,131000
760,896.0,3.0,0,0,2,746,397,2,2003.0,1656,0,6931,60.0,92.0,128,5,7,746,2003,2004,165400
1362,0.0,2.0,3,20,1,1342,460,-1,2005.0,1362,0,7577,61.0,256.0,28,5,6,1362,2005,2006,194700
1051,788.0,4.0,0,0,2,756,442,1,1966.0,1839,1,7700,70.0,351.0,124,5,6,756,1966,1966,155000
1375,0.0,2.0,0,0,2,1367,451,1,1954.0,1375,1,11310,75.0,0.0,30,5,6,1367,1954,1954,140000
1122,0.0,2.0,0,144,0,172,528,1,1948.0,1122,0,12000,100.0,0.0,36,7,5,924,1948,2005,147000
1432,0.0,2.0,1,680,1,289,588,1,1978.0,1432,0,16157,69.0,0.0,180,7,5,1360,1978,1978,194000
728,728.0,3.0,3,0,2,728,400,2,2007.0,1456,0,9018,65.0,0.0,24,5,7,728,2007,2007,179540
1217,0.0,3.0,3,611,0,577,497,1,1990.0,1217,0,9947,69.0,0.0,27,5,7,1188,1990,1991,173000
1040,0.0,2.0,-1,0,-1,0,625,1,1950.0,1040,1,7200,60.0,0.0,0,7,5,0,1950,1950,109500
612,612.0,2.0,3,294,0,318,528,0,2009.0,1224,0,3000,30.0,76.0,234,5,6,612,2009,2009,173733
1022,752.0,2.0,0,0,2,952,468,1,1931.0,1774,1,6120,51.0,0.0,0,5,7,952,1931,1950,129900
961,406.0,4.0,0,241,3,229,384,1,1978.0,1367,1,8405,50.0,0.0,130,8,5,861,1900,1950,119000
803,557.0,2.0,0,0,2,803,297,-1,1951.0,1360,0,7200,60.0,0.0,65,6,5,803,1938,1995,125500
848,0.0,1.0,3,697,0,151,420,0,2004.0,848,0,4426,69.0,147.0,0,5,6,848,2004,2004,149300
1482,780.0,3.0,1,871,0,611,749,2,2003.0,2262,0,12244,85.0,226.0,0,5,8,1482,2003,2003,305000
1220,0.0,2.0,0,836,5,0,396,1,1951.0,1220,1,8877,67.0,0.0,0,5,4,836,1951,1951,102000
1414,0.0,2.0,0,0,2,1375,398,2,2004.0,1414,0,3072,69.0,18.0,20,5,7,1375,2004,2004,178740
1134,924.0,3.0,0,319,3,416,396,1,1950.0,2058,1,9600,60.0,0.0,0,5,6,735,1917,1950,129500
1088,110.0,4.0,0,0,-1,901,0,-1,1979.0,1198,1,5586,60.0,0.0,98,7,6,901,1920,1998,79900
1659,0.0,2.0,0,1158,0,343,499,2,2000.0,1659,2,5664,40.0,0.0,59,5,8,1501,2000,2000,278000
1012,0.0,2.0,0,0,2,1012,308,1,1920.0,1012,1,8263,59.0,0.0,22,5,6,1012,1920,1950,118400
1687,998.0,5.0,0,523,0,301,672,2,1970.0,3082,1,15863,102.0,0.0,63,3,7,824,1920,1970,197000
1032,0.0,4.0,0,0,2,360,672,1,1999.0,1812,0,7630,76.0,0.0,0,9,5,360,1900,1996,140000
1057,872.0,3.0,0,738,-1,319,650,2,2001.0,1929,0,7050,69.0,0.0,235,5,7,1057,2001,2001,226000
954,0.0,3.0,3,483,1,428,576,1,1976.0,954,1,10780,55.0,0.0,0,5,5,911,1976,1976,132500
1838,0.0,2.0,3,1260,0,578,765,-1,2006.0,1838,2,14601,85.0,584.0,68,5,9,1838,2006,2006,315000
1640,0.0,3.0,0,728,4,568,924,1,1993.0,1640,0,14778,69.0,72.0,0,7,6,1296,1954,2006,224000
1148,0.0,3.0,0,1148,4,0,672,1,1959.0,1148,1,7931,70.0,0.0,0,5,5,1148,1959,1959,132500
950,0.0,3.0,0,412,4,251,280,1,1981.0,950,1,9758,61.0,0.0,0,5,5,950,1971,1971,119500
1065,846.0,3.0,0,380,-1,397,471,0,1993.0,1911,0,9554,80.0,125.0,81,5,8,777,1993,1994,215000
915,720.0,3.0,0,300,3,765,440,1,1950.0,1635,1,8737,70.0,0.0,38,7,6,1065,1923,1950,210000
1316,0.0,3.0,3,0,-1,1316,440,2,2007.0,1316,0,11175,103.0,0.0,20,5,7,1316,2007,2007,200141
1442,0.0,2.0,0,0,2,1442,615,0,1970.0,1442,1,11717,69.0,571.0,0,6,6,1442,1970,1970,185000
1078,0.0,3.0,0,734,0,344,500,2,1971.0,1078,1,12537,69.0,0.0,0,6,5,1078,1971,2008,149900
1120,0.0,3.0,0,932,1,108,544,0,1961.0,1120,3,6970,85.0,0.0,0,5,4,1040,1961,1961,129000
779,640.0,3.0,0,353,0,55,527,2,2002.0,1419,0,7750,69.0,0.0,0,5,8,408,2002,2002,184100
707,682.0,3.0,0,0,2,651,240,1,1947.0,1389,1,3378,60.0,0.0,0,8,7,651,1946,1992,135000
1063,0.0,3.0,0,354,3,412,280,0,1954.0,1063,1,9920,80.0,110.0,0,5,5,1056,1954,1954,128000
1792,0.0,2.0,1,1567,0,225,874,2,2003.0,1792,2,11846,72.0,562.0,49,5,9,1792,2003,2004,374000
1216,0.0,2.0,0,897,0,319,402,1,1998.0,1216,1,4500,32.0,116.0,125,5,6,1216,1998,1998,164000
998,764.0,4.0,0,0,2,596,576,1,1989.0,1762,0,7200,60.0,0.0,0,7,7,596,1920,1950,157000
847,1112.0,4.0,3,0,2,847,434,2,2004.0,1959,0,11796,59.0,0.0,48,5,7,847,2004,2005,215000
1208,0.0,3.0,0,767,1,441,546,0,1977.0,1208,1,11250,69.0,0.0,42,6,6,1208,1977,1977,165000
874,650.0,3.0,0,460,4,414,315,1,1958.0,1524,1,11344,78.0,180.0,0,5,5,874,1958,1958,144000
796,358.0,3.0,0,735,4,61,240,1,1922.0,1154,0,5436,40.0,0.0,96,8,4,796,1922,2007,125500
1048,0.0,3.0,-1,0,-1,0,420,1,1950.0,1048,1,7200,60.0,0.0,27,5,5,0,1950,1950,98300
886,0.0,2.0,0,0,2,190,273,1,1938.0,886,1,5784,50.0,0.0,20,8,5,190,1938,1996,91300
943,0.0,2.0,1,943,0,0,600,1,1979.0,943,1,7032,69.0,0.0,0,5,5,943,1979,1979,135960
866,902.0,3.0,0,400,0,466,603,0,2005.0,1768,0,9803,75.0,0.0,108,5,7,866,2005,2005,226700
1422,1177.0,4.0,0,0,2,1393,779,2,1999.0,2599,0,14774,108.0,165.0,30,5,9,1393,1999,1999,333168
912,0.0,2.0,0,456,3,456,275,0,1958.0,912,1,10150,70.0,1.0,0,5,5,912,1958,1958,114500
882,0.0,2.0,-1,0,-1,0,308,1,1956.0,882,1,12702,70.0,0.0,45,5,5,0,1956,1956,97000
1337,0.0,2.0,0,266,0,1139,511,2,1998.0,1337,0,4060,34.0,0.0,68,5,6,1405,1998,1999,181000
2076,0.0,2.0,1,1386,0,690,850,-1,2006.0,2076,2,13891,107.0,0.0,229,5,10,2076,2006,2006,465000
1328,1203.0,4.0,3,56,5,1198,752,0,1995.0,2531,0,12257,65.0,513.0,98,5,8,1318,1995,1995,290000
981,787.0,3.0,0,569,1,162,240,1,1939.0,1768,0,7200,60.0,252.0,0,7,5,731,1937,1950,175000
1625,0.0,2.0,1,1573,-1,0,538,-1,2006.0,1625,0,4750,44.0,481.0,0,5,8,1573,2006,2007,235000
1444,700.0,4.0,1,697,3,747,389,2,1958.0,2144,0,159000,69.0,472.0,98,7,6,1444,1958,2006,277000
1521,0.0,3.0,0,0,2,1237,880,1,1988.0,2775,0,13500,75.0,0.0,502,9,10,1237,1893,2000,325000
1140,728.0,3.0,0,0,2,585,477,2,1984.0,1868,1,12090,78.0,74.0,112,7,6,585,1984,2003,178000
1525,0.0,3.0,3,1400,0,125,541,0,2000.0,1525,0,9100,70.0,244.0,36,5,7,1525,2000,2000,235000
1571,0.0,3.0,1,0,-1,1571,722,2,2007.0,1571,0,10991,89.0,80.0,36,5,8,1571,2007,2007,239000
796,0.0,2.0,0,0,2,796,0,-1,1979.0,796,1,8777,67.0,0.0,0,7,5,796,1910,1950,85000
1378,994.0,4.0,0,0,2,994,432,0,1985.0,2372,1,6600,60.0,0.0,287,4,5,994,1892,1965,107500
802,670.0,3.0,0,0,2,384,402,0,1991.0,1472,0,10784,69.0,76.0,0,5,7,384,1991,1992,160000
960,0.0,0.0,3,648,0,0,364,1,1965.0,960,1,10246,69.0,0.0,0,9,4,648,1965,2001,145000
734,1104.0,4.0,3,0,2,732,372,2,2005.0,1838,1,21930,60.0,0.0,40,5,5,732,2005,2005,192140
1309,0.0,3.0,0,663,1,0,484,0,1974.0,1309,0,10140,78.0,99.0,0,6,6,1040,1974,1999,181000
2069,574.0,3.0,3,0,2,2153,694,2,2006.0,2643,2,13693,105.0,772.0,84,5,9,2153,2006,2006,380000
676,455.0,3.0,0,0,2,676,200,1,1941.0,1131,1,5720,52.0,0.0,0,6,5,676,1941,1950,66500
960,1000.0,4.0,0,0,2,960,400,1,1952.0,1960,1,7596,60.0,360.0,0,5,5,960,1952,1952,124500
1144,0.0,3.0,0,25,4,247,336,1,1962.0,1144,1,9204,71.0,0.0,88,5,5,1144,1963,1963,124000
1056,0.0,0.0,0,1056,0,0,576,1,1980.0,1056,1,6979,64.0,0.0,56,5,6,1056,1980,1980,144000
693,0.0,2.0,0,0,-1,693,0,-1,1979.0,693,3,4118,153.0,0.0,20,4,4,693,1941,1950,52500
1494,0.0,3.0,1,1200,0,279,576,0,1997.0,1494,0,9236,79.0,0.0,27,5,6,1479,1997,1997,217000
1646,0.0,2.0,1,1373,0,221,482,2,2004.0,1646,0,3842,44.0,174.0,53,5,8,1594,2004,2005,275000
864,0.0,3.0,3,390,1,474,352,1,1989.0,864,1,7180,60.0,0.0,0,7,5,864,1972,1972,127000
1566,0.0,3.0,3,1078,0,488,750,0,2008.0,1566,0,9000,75.0,36.0,168,5,8,1566,2008,2008,262500
735,660.0,3.0,0,593,4,130,497,1,1972.0,1395,1,12936,69.0,0.0,116,6,6,723,1972,1972,162000
848,0.0,2.0,0,152,4,628,539,1,1962.0,1208,1,6240,52.0,0.0,23,5,4,780,1925,1950,103000
939,574.0,4.0,2,0,2,939,180,1,1933.0,1513,1,6120,51.0,0.0,0,8,5,939,1920,2004,137500
959,408.0,3.0,0,425,5,459,560,-1,1978.0,1367,1,6240,52.0,0.0,0,6,6,884,1931,1950,127500
955,0.0,3.0,0,763,4,192,386,1,1966.0,955,1,7742,66.0,0.0,0,7,5,955,1966,1966,127000
1077,0.0,3.0,0,0,2,1007,210,1,1922.0,1077,1,9786,60.0,0.0,100,4,3,1007,1922,1950,91000
1056,0.0,3.0,2,1056,3,0,572,2,1955.0,1056,1,34650,100.0,0.0,0,5,5,1056,1955,1955,145000
756,797.0,3.0,0,0,2,756,615,0,2005.0,1553,0,8125,65.0,0.0,45,5,7,756,2005,2006,186500
1614,0.0,3.0,3,20,0,1594,865,0,2005.0,1614,0,11210,86.0,240.0,59,5,7,1614,2005,2006,221500
2042,0.0,3.0,0,0,-1,2042,1390,0,2009.0,2042,2,12704,98.0,306.0,90,5,8,2042,2008,2009,253293
1073,0.0,2.0,0,0,2,1073,326,-1,1968.0,1073,1,5400,60.0,0.0,0,6,5,1073,1921,1968,108480
1072,213.0,2.0,0,336,4,295,240,1,1948.0,1285,1,8635,50.0,0.0,0,5,5,672,1948,2001,127000
2117,0.0,4.0,2,865,4,340,550,2,1970.0,2117,1,12925,69.0,0.0,42,7,6,1205,1970,1970,237500
605,0.0,2.0,2,348,-1,180,0,-1,1979.0,605,1,9098,58.0,0.0,0,7,4,528,1920,2002,86000
1150,0.0,3.0,0,179,1,465,300,0,1959.0,1150,1,7945,70.0,0.0,0,6,5,1150,1959,1959,141000
728,728.0,3.0,0,0,2,728,400,-1,2005.0,1456,0,8029,51.0,0.0,24,5,6,728,2005,2005,176000
999,0.0,3.0,3,867,1,77,588,0,1961.0,999,2,12122,69.0,210.0,76,9,7,944,1961,2007,178400
750,750.0,3.0,0,0,2,750,564,0,2005.0,1500,0,8846,68.0,0.0,35,5,6,750,2005,2006,173900
1336,0.0,2.0,2,841,4,324,375,1,1953.0,1336,1,15750,90.0,56.0,0,5,5,1165,1953,1953,157000
864,729.0,3.0,0,759,0,80,398,-1,2004.0,1593,1,7415,62.0,0.0,75,5,6,839,2004,2004,193000
1130,1054.0,3.0,3,936,0,168,836,2,2008.0,2184,2,11308,96.0,154.0,102,5,9,1104,2008,2008,335000
1560,0.0,3.0,0,0,2,1560,573,2,2003.0,1560,0,9196,129.0,0.0,150,5,7,1560,2003,2003,201000
888,0.0,3.0,0,386,5,342,312,1,1942.0,1644,0,9480,79.0,224.0,0,7,5,728,1942,1995,146500
630,0.0,3.0,3,515,0,115,286,1,1970.0,630,0,1526,21.0,0.0,0,8,4,630,1970,2002,86000
1113,0.0,3.0,0,751,4,392,504,0,1987.0,1113,1,7917,69.0,174.0,30,7,6,1143,1976,1976,148000
1071,1101.0,3.0,0,0,2,1063,947,0,2006.0,2172,0,14154,109.0,350.0,62,5,7,1063,2006,2006,280000
796,550.0,2.0,0,0,2,560,384,1,1950.0,1346,1,11767,70.0,0.0,24,7,4,560,1910,2000,112000
1184,1426.0,4.0,3,64,0,1120,550,2,2007.0,2610,2,9000,75.0,0.0,364,5,8,1184,2007,2007,303477
1026,932.0,3.0,0,0,2,1026,936,2,2005.0,1958,0,10625,85.0,0.0,210,5,7,1026,2005,2005,250000
1468,0.0,3.0,0,0,2,1468,898,2,2008.0,1468,0,9612,74.0,72.0,150,5,8,1468,2008,2009,244600
1302,432.0,4.0,-1,0,-1,0,539,1,1977.0,1734,0,10125,75.0,0.0,0,5,5,0,1977,1977,126000
768,432.0,3.0,0,352,4,416,240,1,1946.0,1200,1,11767,70.0,0.0,0,6,5,768,1946,1995,130500
1112,438.0,2.0,0,812,0,280,438,2,2007.0,1550,0,8125,65.0,100.0,168,5,7,1092,2006,2007,241000
954,795.0,5.0,0,0,2,795,440,1,1997.0,2230,1,6204,60.0,0.0,188,5,4,795,1912,1950,118500
1166,0.0,3.0,0,0,2,1064,240,1,1936.0,1639,1,10480,51.0,0.0,0,5,6,1064,1936,1950,115000
864,0.0,3.0,0,521,4,169,624,-1,1964.0,864,1,9100,70.0,0.0,0,5,5,864,1958,1958,129900
1621,0.0,3.0,2,213,1,995,440,-1,1984.0,1621,0,14145,91.0,0.0,45,7,7,1208,1984,1998,202500
483,504.0,3.0,0,162,1,321,264,1,1972.0,987,0,1680,21.0,510.0,0,8,6,483,1972,2007,118000
1238,1281.0,4.0,1,965,0,245,628,0,1989.0,2519,0,26178,42.0,293.0,27,5,7,1210,1989,1990,335000
765,600.0,3.0,0,765,5,0,440,1,1970.0,1365,1,2368,24.0,312.0,36,6,5,765,1970,1970,125000
1149,1141.0,4.0,2,0,2,1128,779,1,2002.0,2290,0,11250,69.0,0.0,0,5,8,1128,2002,2002,255900
1249,1347.0,4.0,3,0,2,1249,840,0,2006.0,2596,0,16259,111.0,370.0,154,5,9,1249,2006,2006,342643
907,0.0,3.0,0,288,3,619,352,1,1964.0,907,1,8593,77.0,0.0,0,6,4,907,1957,1957,109008
855,0.0,3.0,0,566,1,289,440,-1,1976.0,1456,1,2280,24.0,0.0,0,6,6,855,1976,1976,148500
1190,0.0,3.0,3,803,1,303,540,-1,1962.0,1190,1,7728,70.0,120.0,18,6,5,1106,1962,1962,132500
858,0.0,2.0,0,322,1,536,684,1,1979.0,858,1,7340,69.0,0.0,0,6,4,858,1971,1971,110000
2223,0.0,3.0,1,1880,1,343,516,2,1973.0,2223,1,13651,95.0,1115.0,0,6,7,2223,1973,1973,244000
1005,0.0,2.0,0,0,2,1005,672,1,1977.0,1005,3,10434,60.0,0.0,0,5,4,1005,1955,1955,115000
1086,809.0,3.0,0,0,2,712,409,2,1994.0,1895,0,10832,69.0,0.0,46,5,7,712,1994,1996,194500
1040,0.0,3.0,0,906,3,134,384,1,1965.0,1040,1,11200,70.0,0.0,0,5,5,1040,1965,1965,129500
1264,0.0,3.0,0,697,3,571,461,1,1960.0,1264,1,9300,73.0,324.0,0,5,5,1268,1960,1960,167500
874,887.0,3.0,0,0,2,874,578,2,2007.0,1761,0,10207,84.0,0.0,105,6,7,874,2007,2007,227875
1034,0.0,3.0,3,539,0,473,888,1,1976.0,1034,1,12328,69.0,335.0,0,5,6,1012,1976,1976,169900
1363,0.0,2.0,1,226,5,96,439,1,1954.0,1363,1,39104,73.0,0.0,0,7,7,1385,1954,2005,241500
1689,0.0,3.0,0,0,2,1436,480,1,1956.0,1689,1,9855,73.0,0.0,0,5,6,1436,1956,1956,127500
2113,0.0,2.0,1,1696,0,413,839,2,1995.0,2113,0,10437,91.0,660.0,46,6,8,2109,1995,1995,350000
1573,0.0,3.0,0,788,0,785,544,0,2002.0,1573,0,9808,67.0,110.0,72,5,7,1573,2002,2002,227000
2364,0.0,3.0,1,2188,0,142,820,2,2009.0,2364,2,12919,100.0,760.0,67,5,9,2330,2009,2010,611657
1057,977.0,3.0,0,739,0,318,645,0,1998.0,2034,0,9375,69.0,573.0,36,5,7,1057,1997,1998,219500
1291,0.0,2.0,2,1003,0,288,431,1,1996.0,1291,0,2887,69.0,0.0,0,5,6,1291,1996,1997,173000
858,0.0,2.0,1,696,4,162,0,-1,1979.0,858,1,7207,50.0,0.0,0,7,5,858,1958,2008,116500
698,560.0,2.0,2,204,3,356,280,1,1939.0,1258,1,9060,60.0,0.0,0,5,6,560,1939,1950,105000
438,0.0,1.0,0,290,3,0,246,1,1930.0,438,3,8400,60.0,0.0,0,5,2,290,1920,1950,60000
672,728.0,3.0,0,209,1,463,440,2,1978.0,1400,1,7844,74.0,203.0,0,7,6,672,1978,1978,149500
954,0.0,2.0,0,0,2,920,240,1,1938.0,954,3,6305,50.0,0.0,0,7,5,920,1938,1950,119750
1445,0.0,3.0,1,564,-1,563,645,0,1964.0,1445,1,12095,69.0,115.0,0,6,6,1127,1964,1964,158000
1072,0.0,2.0,1,459,-1,88,525,-1,2005.0,1072,1,3675,35.0,80.0,28,5,6,547,2005,2005,148000
1664,0.0,4.0,-1,0,-1,0,0,-1,1979.0,1664,1,9825,75.0,0.0,0,5,5,0,1965,1965,100000
1445,689.0,5.0,0,0,2,844,441,1,1930.0,2134,0,11888,69.0,0.0,60,6,6,844,1916,1994,214500
1940,1254.0,4.0,2,428,4,537,380,1,1934.0,3194,1,12168,78.0,0.0,0,6,8,965,1934,1998,359100
912,912.0,4.0,3,0,2,912,0,-1,1979.0,1824,1,9400,94.0,0.0,0,5,6,912,1971,1971,139000
888,868.0,3.0,0,742,1,130,422,2,1996.0,1756,1,9303,69.0,42.0,122,5,6,872,1996,1997,204000
912,0.0,2.0,0,595,1,317,576,1,1992.0,912,0,8872,72.0,300.0,240,8,5,912,1965,2008,147000
1509,0.0,3.0,3,783,0,678,600,0,1988.0,1509,0,10200,85.0,219.0,0,5,6,1461,1988,1989,175000
1160,448.0,3.0,0,264,4,712,216,1,1925.0,1608,0,6171,51.0,0.0,16,6,6,976,1925,1990,137450
1316,0.0,3.0,0,28,0,1288,397,2,2005.0,1316,0,10237,65.0,0.0,0,5,6,1316,2005,2006,169990
1015,0.0,3.0,0,489,3,279,450,1,1925.0,1015,1,6120,51.0,0.0,0,7,5,768,1925,1950,88000
756,378.0,3.0,0,312,1,444,240,1,1940.0,1134,1,8160,60.0,0.0,0,6,5,756,1940,1950,126000
1636,0.0,3.0,0,63,0,1560,865,0,2006.0,1636,0,13501,116.0,208.0,60,5,8,1623,2006,2006,255000
660,660.0,3.0,0,0,2,660,400,2,2003.0,1320,0,7750,69.0,0.0,48,5,7,660,2003,2003,162000
1160,966.0,3.0,1,249,5,0,538,2,1967.0,2126,1,28698,69.0,0.0,0,5,5,1013,1967,1967,185000
1128,0.0,3.0,2,776,1,344,525,0,1963.0,1128,1,8700,80.0,148.0,20,6,5,1120,1963,1963,155000
1306,0.0,2.0,2,860,4,132,756,1,1968.0,1306,1,8712,64.0,0.0,0,7,5,992,1957,2000,153000
798,546.0,3.0,0,0,2,546,0,-1,1979.0,1344,1,1533,21.0,0.0,0,6,4,546,1970,2008,97000
1576,978.0,3.0,0,0,-1,718,704,1,1996.0,2554,1,10800,60.0,0.0,48,8,7,718,1890,1998,159500
893,0.0,2.0,0,220,1,625,576,1,1985.0,893,0,9600,60.0,0.0,0,7,5,845,1949,2003,135000
894,1039.0,4.0,2,0,2,894,668,2,2007.0,1933,0,14598,86.0,74.0,18,5,6,894,2007,2007,214000
672,546.0,3.0,0,356,4,316,264,1,1973.0,1218,1,1890,21.0,285.0,28,5,6,672,1973,1973,113000
1161,808.0,3.0,0,0,2,808,534,0,1977.0,1969,1,11952,92.0,0.0,0,6,7,808,1977,1977,190000
1220,870.0,3.0,0,1079,0,141,556,0,1995.0,2090,0,10000,80.0,438.0,65,5,8,1220,1995,1996,240000
1484,0.0,3.0,3,998,1,486,487,1,1971.0,1484,1,12243,70.0,0.0,0,6,5,1484,1971,1971,175000
1656,0.0,4.0,0,0,2,1656,506,1,1973.0,1656,1,9246,87.0,564.0,211,5,5,1656,1973,1973,135000
818,406.0,3.0,0,468,3,350,210,1,1926.0,1224,1,3950,69.0,0.0,0,8,6,818,1926,2004,115000
1022,1032.0,3.0,0,695,0,297,390,0,2000.0,2054,0,12224,69.0,40.0,48,5,6,992,2000,2000,244000
854,0.0,2.0,0,0,2,832,576,1,1991.0,854,1,6120,51.0,0.0,112,8,7,832,1929,2001,132000
546,546.0,3.0,0,334,4,212,286,0,1973.0,1092,1,1974,69.0,0.0,96,5,4,546,1973,1973,83500
1268,0.0,3.0,3,196,1,1072,252,1,1978.0,1268,0,9286,69.0,0.0,0,7,5,1268,1977,1989,143500
827,834.0,3.0,3,385,0,70,550,0,1996.0,1661,0,10667,43.0,0.0,61,6,7,799,1996,1996,212000
1668,0.0,3.0,3,370,4,315,502,2,2003.0,1668,0,10635,48.0,171.0,262,5,8,1657,2003,2003,232000
1493,0.0,3.0,1,994,0,484,508,2,1997.0,1493,0,13125,75.0,215.0,39,5,6,1478,1997,1998,208900
932,0.0,2.0,0,0,2,932,306,1,1950.0,932,0,8280,57.0,0.0,0,5,6,932,1950,1950,124000
1277,0.0,2.0,1,778,0,499,526,1,1970.0,1277,1,10628,85.0,0.0,0,5,7,1277,1970,1970,167000
1530,0.0,3.0,3,1300,0,230,630,2,2004.0,1530,0,14572,182.0,0.0,36,5,7,1530,2004,2004,259000
1344,0.0,2.0,0,457,1,193,484,1,1970.0,1344,1,9503,69.0,0.0,28,5,5,1024,1958,1983,144000
860,0.0,2.0,3,672,1,168,528,1,1996.0,860,1,8740,74.0,0.0,0,6,5,840,1982,1982,137000
1314,0.0,2.0,0,904,0,410,626,-1,2008.0,1314,0,5001,34.0,166.0,62,5,7,1314,2007,2008,230000
1391,571.0,3.0,2,464,0,927,868,0,2006.0,1962,0,8760,73.0,0.0,90,5,7,1391,2006,2006,239799
788,702.0,3.0,3,724,0,64,388,2,2004.0,1490,0,15384,60.0,0.0,75,5,7,788,2004,2005,184000
